"id","fdc_id","seq_num","amount","measure_unit_id","portion_description","modifier","gram_weight","data_points","footnote","min_year_acquired"
"118702","319875","NULL","2","1001","NULL","NULL","35.8","1","NULL","NULL"
"118703","319880","NULL","2","1001","NULL","NULL","36.2","1","NULL","NULL"
"118704","319881","NULL","2","1001","NULL","NULL","33.4","1","NULL","NULL"
"118705","319886","NULL","2","1001","NULL","NULL","33.2","1","NULL","NULL"
"118706","319889","NULL","2","1001","NULL","NULL","34.6","1","NULL","NULL"
"118707","319895","NULL","2","1001","NULL","NULL","34.8","1","NULL","NULL"
"118708","319897","NULL","2","1001","NULL","NULL","31.4","1","NULL","NULL"
"118709","319902","NULL","2","1001","NULL","NULL","32","1","NULL","NULL"
"118710","319904","NULL","2","1001","NULL","NULL","32.2","1","NULL","NULL"
"118711","319922","NULL","2","1001","NULL","NULL","33.6","1","NULL","NULL"
"118712","319924","NULL","2","1001","NULL","NULL","32.4","1","NULL","NULL"
"118713","319940","NULL","2","1001","NULL","NULL","36","1","NULL","NULL"
"118714","319942","NULL","2","1001","NULL","NULL","35.8","1","NULL","NULL"
"118715","319959","NULL","2","1001","NULL","NULL","34.8","1","NULL","NULL"
"118716","319962","NULL","2","1001","NULL","NULL","35.2","1","NULL","NULL"
"118717","319979","NULL","2","1001","NULL","NULL","30.4","1","NULL","NULL"
"118718","319980","NULL","2","1001","NULL","NULL","32","1","NULL","NULL"
"118719","319985","NULL","2","1001","NULL","NULL","35.4","1","NULL","NULL"
"118720","319988","NULL","2","1001","NULL","NULL","35.6","1","NULL","NULL"
"118721","320006","NULL","2","1001","NULL","NULL","33","1","NULL","NULL"
"118722","320009","NULL","2","1001","NULL","NULL","34","1","NULL","NULL"
"118724","320026","NULL","1","1000","NULL","NULL","223","1","NULL","NULL"
"118725","320032","NULL","1","1000","NULL","NULL","224","1","NULL","NULL"
"118726","320038","NULL","1","1000","NULL","NULL","232","1","NULL","NULL"
"118727","320044","NULL","1","1000","NULL","NULL","224","1","NULL","NULL"
"118728","320063","NULL","1","1000","NULL","NULL","228","1","NULL","NULL"
"118729","320063","NULL","1","1009","NULL","NULL","30.5","1","NULL","NULL"
"118730","320063","NULL","1","1045","NULL","NULL","976","1","NULL","NULL"
"118731","320086","NULL","1","1000","NULL","NULL","230","1","NULL","NULL"
"118732","320105","NULL","1","1000","NULL","NULL","217","1","NULL","NULL"
"118733","320125","NULL","1","1000","NULL","NULL","224","1","NULL","NULL"
"118734","320144","NULL","1","1000","NULL","NULL","226","1","NULL","NULL"
"118735","320166","NULL","1","1000","NULL","NULL","220","1","NULL","NULL"
"118736","320173","NULL","1","1000","NULL","NULL","231","1","NULL","NULL"
"118737","320180","NULL","1","1000","NULL","NULL","226","1","NULL","NULL"
"118738","320186","NULL","1","1000","NULL","NULL","228","1","NULL","NULL"
"118739","320192","NULL","1","1000","NULL","NULL","229","1","NULL","NULL"
"118740","320198","NULL","1","1000","NULL","NULL","222","1","NULL","NULL"
"118741","320204","NULL","1","1000","NULL","NULL","229","1","NULL","NULL"
"118742","320211","NULL","1","1000","NULL","NULL","228","1","NULL","NULL"
"118743","320231","NULL","1","1000","NULL","NULL","237","1","NULL","NULL"
"118744","320254","NULL","1","1000","NULL","NULL","228","1","NULL","NULL"
"118745","320276","NULL","1","1000","NULL","NULL","227","1","NULL","NULL"
"118746","320299","NULL","1","1000","NULL","NULL","226","1","NULL","NULL"
"118747","320308","NULL","1","1000","NULL","NULL","231","1","NULL","NULL"
"118748","320314","NULL","1","1000","NULL","NULL","232","1","NULL","NULL"
"118749","320333","NULL","1","1000","NULL","NULL","228","1","NULL","NULL"
"118753","320354","NULL","1","1046","NULL","raw","838","2","NULL","NULL"
"118754","320355","NULL","1","1054","NULL","raw","130","6","NULL","NULL"
"118755","320358","NULL","1","1046","NULL","raw","634","2","NULL","NULL"
"118756","320359","NULL","1","1046","NULL","raw","788","2","NULL","NULL"
"118757","320360","NULL","1","1046","NULL","raw","629","2","NULL","NULL"
"118758","320361","NULL","1","1046","NULL","raw","707","2","NULL","NULL"
"118759","320362","NULL","1","1046","NULL","raw","690","2","NULL","NULL"
"118760","320363","NULL","1","1046","NULL","raw","685","2","NULL","NULL"
"118761","320364","NULL","1","1046","NULL","raw","706","2","NULL","NULL"
"118762","320365","NULL","1","1046","NULL","raw","581","2","NULL","NULL"
"118763","320366","NULL","1","1046","NULL","raw","741","2","NULL","NULL"
"118764","320367","NULL","1","1046","NULL","raw","752","2","NULL","NULL"
"118765","320368","NULL","1","1046","NULL","raw","529","2","NULL","NULL"
"118766","320369","NULL","1","1054","NULL","raw","113","6","NULL","NULL"
"118767","320370","NULL","1","1054","NULL","raw","174","6","NULL","NULL"
"118768","320371","NULL","1","1054","NULL","raw","113","6","NULL","NULL"
"118769","320372","NULL","1","1054","NULL","raw","177","6","NULL","NULL"
"118770","320373","NULL","1","1054","NULL","raw","132","6","NULL","NULL"
"118771","320374","NULL","1","1054","NULL","raw","94.2","6","NULL","NULL"
"118772","320375","NULL","1","1054","NULL","raw","147","6","NULL","NULL"
"118773","320376","NULL","1","1054","NULL","raw","146","6","NULL","NULL"
"118774","320377","NULL","1","1054","NULL","raw","189","6","NULL","NULL"
"118775","320378","NULL","1","1054","NULL","raw","193","6","NULL","NULL"
"118776","320379","NULL","1","1054","NULL","raw","169","6","NULL","NULL"
"118778","320444","NULL","5","1082","NULL","NULL","34.1","1","NULL","NULL"
"118779","320444","NULL","1","1000","NULL","NULL","155","1","NULL","NULL"
"118780","320446","NULL","5","1082","NULL","NULL","52.7","1","NULL","NULL"
"118781","320446","NULL","1","1000","NULL","NULL","149","1","NULL","NULL"
"118782","320452","NULL","5","1082","NULL","NULL","26.2","1","NULL","NULL"
"118783","320452","NULL","1","1000","NULL","NULL","147","1","NULL","NULL"
"118784","320454","NULL","5","1082","NULL","NULL","50.5","1","NULL","NULL"
"118785","320454","NULL","1","1000","NULL","NULL","152","1","NULL","NULL"
"118786","320461","NULL","5","1082","NULL","NULL","52.3","1","NULL","NULL"
"118787","320461","NULL","1","1000","NULL","NULL","141","1","NULL","NULL"
"118788","320463","NULL","5","1082","NULL","NULL","50.1","1","NULL","NULL"
"118789","320463","NULL","1","1000","NULL","NULL","148","1","NULL","NULL"
"118790","320477","NULL","5","1082","NULL","NULL","45.8","1","NULL","NULL"
"118791","320477","NULL","1","1000","NULL","NULL","157","1","NULL","NULL"
"118792","320481","NULL","5","1082","NULL","NULL","45.4","1","NULL","NULL"
"118793","320481","NULL","1","1000","NULL","NULL","147","1","NULL","NULL"
"118794","320513","NULL","5","1082","NULL","NULL","91.7","1","NULL","NULL"
"118795","320513","NULL","1","1000","NULL","NULL","156","1","NULL","NULL"
"118796","320515","NULL","5","1082","NULL","NULL","52","1","NULL","NULL"
"118797","320515","NULL","1","1000","NULL","NULL","161","1","NULL","NULL"
"118804","321358","1","2","1001","NULL","NULL","33.9","21","NULL","2015"
"118805","321359","1","1","1000","NULL","NULL","227","24","NULL","2018"
"118806","321359","2","1","1009","NULL","NULL","30.5","1","NULL","2018"
"118807","321359","3","1","1045","NULL","NULL","976","1","NULL","2018"
"118808","321360","1","5","1082","NULL","NULL","49.7","11","NULL","2016"
"118809","321360","2","1","1000","NULL","NULL","152","11","NULL","2016"
"118810","321362","NULL","1","1002","NULL","NULL","6.6","1","NULL","NULL"
"118811","321368","NULL","1","1002","NULL","NULL","5.8","1","NULL","NULL"
"118812","321374","NULL","1","1002","NULL","NULL","6","1","NULL","NULL"
"118813","321380","NULL","1","1002","NULL","NULL","5.9","1","NULL","NULL"
"118814","321385","NULL","1","1002","NULL","NULL","6.1","1","NULL","NULL"
"118815","321390","NULL","1","1002","NULL","NULL","6","1","NULL","NULL"
"118816","321395","NULL","1","1002","NULL","NULL","6.5","1","NULL","NULL"
"118817","321401","NULL","1","1002","NULL","NULL","6.2","1","NULL","NULL"
"118818","321407","NULL","1","1002","NULL","NULL","6","1","NULL","NULL"
"118819","321413","NULL","1","1002","NULL","NULL","6","1","NULL","NULL"
"118820","321418","NULL","1","1002","NULL","NULL","5.7","1","NULL","NULL"
"118821","321424","NULL","1","1002","NULL","NULL","6.5","1","NULL","NULL"
"118822","321430","NULL","1","1002","NULL","NULL","6.2","1","NULL","NULL"
"118823","321436","NULL","1","1002","NULL","NULL","5.9","1","NULL","NULL"
"118824","321442","NULL","1","1002","NULL","NULL","6.4","1","NULL","NULL"
"118825","321447","NULL","1","1002","NULL","NULL","6.6","1","NULL","NULL"
"118826","321453","NULL","1","1002","NULL","NULL","6.2","1","NULL","NULL"
"118827","321459","NULL","1","1002","NULL","NULL","6","1","NULL","NULL"
"118828","321465","NULL","1","1002","NULL","NULL","5.9","1","NULL","NULL"
"118829","321476","NULL","1","1002","NULL","NULL","6.3","1","NULL","NULL"
"118830","321482","NULL","1","1002","NULL","NULL","5.7","1","NULL","NULL"
"118831","321488","NULL","1","1002","NULL","NULL","5.7","1","NULL","NULL"
"118832","321494","NULL","1","1002","NULL","NULL","6","1","NULL","NULL"
"118833","321500","NULL","1","1002","NULL","NULL","5.8","1","NULL","NULL"
"118834","321505","1","1","1002","NULL","NULL","6.1","24","NULL","2018"
"118835","321507","NULL","1","1000","NULL","drained","132","1","NULL","NULL"
"118836","321509","NULL","1","1000","NULL","drained","130","1","NULL","NULL"
"118837","321514","NULL","1","1000","NULL","drained","133","1","NULL","NULL"
"118838","321516","NULL","1","1000","NULL","drained","130","1","NULL","NULL"
"118839","321522","NULL","1","1000","NULL","drained","130","1","NULL","NULL"
"118840","321524","NULL","1","1000","NULL","drained","131","1","NULL","NULL"
"118841","321529","NULL","1","1000","NULL","drained","125","1","NULL","NULL"
"118842","321532","NULL","1","1000","NULL","drained","135","1","NULL","NULL"
"118843","321539","NULL","1","1000","NULL","drained","134","1","NULL","NULL"
"118844","321542","NULL","1","1000","NULL","drained","128","1","NULL","NULL"
"118845","321548","NULL","1","1000","NULL","drained","125","1","NULL","NULL"
"118846","321551","NULL","1","1000","NULL","drained","127","1","NULL","NULL"
"118847","321558","NULL","1","1000","NULL","drained","131","1","NULL","NULL"
"118848","321561","NULL","1","1000","NULL","drained","124","1","NULL","NULL"
"118849","321563","NULL","1","1000","NULL","drained","128","1","NULL","NULL"
"118850","321567","NULL","1","1000","NULL","drained","134","1","NULL","NULL"
"118851","321574","NULL","1","1000","NULL","drained","127","1","NULL","NULL"
"118852","321577","NULL","1","1000","NULL","drained","125","1","NULL","NULL"
"118853","321585","NULL","1","1000","NULL","drained","124","1","NULL","NULL"
"118854","321586","NULL","1","1000","NULL","drained","128","1","NULL","NULL"
"118855","321592","NULL","1","1000","NULL","drained","128","1","NULL","NULL"
"118856","321595","NULL","1","1000","NULL","drained","130","1","NULL","NULL"
"118857","321602","NULL","1","1000","NULL","drained","125","1","NULL","NULL"
"118858","321605","NULL","1","1000","NULL","drained","129","1","NULL","NULL"
"118859","321611","1","1","1000","NULL","drained","129","24","NULL","2015"
"118860","321676","NULL","1","1053","NULL","NULL","233","12","NULL","NULL"
"118861","321676","NULL","1","1000","NULL","chopped","76","12","NULL","NULL"
"118862","321846","NULL","1","1053","NULL","cooked","242","6","NULL","NULL"
"118863","321846","NULL","1","1000","NULL","cooked, chopped","114","6","NULL","NULL"
"118864","321900","1","1","1000","NULL","chopped","76","12","NULL","2001"
"118865","321902","NULL","1","1000","NULL","NULL","238","1","NULL","NULL"
"118866","321908","NULL","1","1000","NULL","NULL","221","1","NULL","NULL"
"118867","321914","NULL","1","1000","NULL","NULL","223","1","NULL","NULL"
"118868","321921","NULL","1","1000","NULL","NULL","232","1","NULL","NULL"
"118869","321941","NULL","1","1000","NULL","NULL","227","1","NULL","NULL"
"118870","321960","NULL","1","1000","NULL","NULL","239","1","NULL","NULL"
"118871","321979","NULL","1","1000","NULL","NULL","250","1","NULL","NULL"
"118872","322002","NULL","1","1000","NULL","NULL","251","1","NULL","NULL"
"118873","322002","NULL","1","1009","NULL","NULL","30.5","1","NULL","NULL"
"118874","322002","NULL","1","1045","NULL","NULL","976","1","NULL","NULL"
"118875","322021","NULL","1","1000","NULL","NULL","232","1","NULL","NULL"
"118876","322044","NULL","1","1000","NULL","NULL","242","1","NULL","NULL"
"118877","322050","NULL","1","1000","NULL","NULL","227","1","NULL","NULL"
"118878","322056","NULL","1","1000","NULL","NULL","230","1","NULL","NULL"
"118879","322062","NULL","1","1000","NULL","NULL","230","1","NULL","NULL"
"118880","322068","NULL","1","1000","NULL","NULL","232","1","NULL","NULL"
"118881","322074","NULL","1","1000","NULL","NULL","231","1","NULL","NULL"
"118882","322080","NULL","1","1000","NULL","NULL","226","1","NULL","NULL"
"118883","322086","NULL","1","1000","NULL","NULL","229","1","NULL","NULL"
"118884","322106","NULL","1","1000","NULL","NULL","230","1","NULL","NULL"
"118885","322129","NULL","1","1000","NULL","NULL","242","1","NULL","NULL"
"118886","322151","NULL","1","1000","NULL","NULL","237","1","NULL","NULL"
"118887","322174","NULL","1","1000","NULL","NULL","221","1","NULL","NULL"
"118888","322183","NULL","1","1000","NULL","NULL","230","1","NULL","NULL"
"118889","322189","NULL","1","1000","NULL","NULL","233","1","NULL","NULL"
"118890","322208","NULL","1","1000","NULL","NULL","232","1","NULL","NULL"
"118891","322228","1","1","1000","NULL","NULL","233","24","NULL","2018"
"118892","322228","2","1","1009","NULL","NULL","30.5","1","NULL","2018"
"118893","322228","3","1","1045","NULL","NULL","976","1","NULL","2018"
"118894","322230","NULL","1","1000","NULL","NULL","222","1","NULL","NULL"
"118895","322230","NULL","1","1009","NULL","NULL","30.6","1","NULL","NULL"
"118896","322230","NULL","1","1045","NULL","NULL","980","1","NULL","NULL"
"118897","322237","NULL","1","1000","NULL","NULL","231","1","NULL","NULL"
"118898","322244","NULL","1","1000","NULL","NULL","227","1","NULL","NULL"
"118899","322250","NULL","1","1000","NULL","NULL","231","1","NULL","NULL"
"118900","322269","NULL","1","1000","NULL","NULL","225","1","NULL","NULL"
"118901","322288","NULL","1","1000","NULL","NULL","223","1","NULL","NULL"
"118902","322307","NULL","1","1000","NULL","NULL","232","1","NULL","NULL"
"118903","322330","NULL","1","1000","NULL","NULL","224","1","NULL","NULL"
"118904","322350","NULL","1","1000","NULL","NULL","236","1","NULL","NULL"
"118905","322374","NULL","1","1000","NULL","NULL","233","1","NULL","NULL"
"118906","322380","NULL","1","1000","NULL","NULL","229","1","NULL","NULL"
"118907","322387","NULL","1","1000","NULL","NULL","228","1","NULL","NULL"
"118908","322393","NULL","1","1000","NULL","NULL","228","1","NULL","NULL"
"118909","322399","NULL","1","1000","NULL","NULL","233","1","NULL","NULL"
"118910","322405","NULL","1","1000","NULL","NULL","229","1","NULL","NULL"
"118911","322411","NULL","1","1000","NULL","NULL","233","1","NULL","NULL"
"118912","322417","NULL","1","1000","NULL","NULL","227","1","NULL","NULL"
"118913","322440","NULL","1","1000","NULL","NULL","237","1","NULL","NULL"
"118914","322449","NULL","1","1000","NULL","NULL","229","1","NULL","NULL"
"118915","322472","NULL","1","1000","NULL","NULL","230","1","NULL","NULL"
"118916","322493","NULL","1","1000","NULL","NULL","229","1","NULL","NULL"
"118917","322515","NULL","1","1000","NULL","NULL","229","1","NULL","NULL"
"118918","322521","NULL","1","1000","NULL","NULL","228","1","NULL","NULL"
"118919","322540","NULL","1","1000","NULL","NULL","229","1","NULL","NULL"
"118920","322559","1","1","1000","NULL","NULL","229","24","NULL","2018"
"118921","322559","2","1","1009","NULL","NULL","30.6","1","NULL","2018"
"118922","322559","3","1","1045","NULL","NULL","980","1","NULL","2018"
"118923","322561","NULL","1","1000","NULL","NULL","227","1","NULL","NULL"
"118924","322561","NULL","1","1000","NULL","NULL","244","1","NULL","NULL"
"118925","322561","NULL","1","1009","NULL","NULL","30.5","1","NULL","NULL"
"118926","322561","NULL","1","1001","NULL","NULL","15","1","NULL","NULL"
"118927","322561","NULL","1","1045","NULL","NULL","976","1","NULL","NULL"
"118928","322567","NULL","1","1000","NULL","NULL","219","1","NULL","NULL"
"118929","322589","NULL","1","1000","NULL","NULL","228","1","NULL","NULL"
"118930","322613","NULL","1","1000","NULL","NULL","225","1","NULL","NULL"
"118931","322629","NULL","1","1000","NULL","NULL","231","1","NULL","NULL"
"118932","322648","NULL","1","1000","NULL","NULL","224","1","NULL","NULL"
"118933","322667","NULL","1","1000","NULL","NULL","228","1","NULL","NULL"
"118934","322690","NULL","1","1000","NULL","NULL","222","1","NULL","NULL"
"118935","322697","NULL","1","1000","NULL","NULL","234","1","NULL","NULL"
"118936","322703","NULL","1","1000","NULL","NULL","225","1","NULL","NULL"
"118937","322709","NULL","1","1000","NULL","NULL","229","1","NULL","NULL"
"118938","322716","NULL","1","1000","NULL","NULL","232","1","NULL","NULL"
"118939","322722","NULL","1","1000","NULL","NULL","229","1","NULL","NULL"
"118940","322728","NULL","1","1000","NULL","NULL","224","1","NULL","NULL"
"118941","322735","NULL","1","1000","NULL","NULL","228","1","NULL","NULL"
"118942","322741","NULL","1","1000","NULL","NULL","253","1","NULL","NULL"
"118943","322764","NULL","1","1000","NULL","NULL","226","1","NULL","NULL"
"118944","322770","NULL","1","1000","NULL","NULL","221","1","NULL","NULL"
